Nome,Cotação(dolar),Cotação(reais),Var.24H,Var.12M,Captalização
       Bitcoin    1 BTC   BTC  ,22035.509215,119212.1,-2.00,-30.11,420824084759.12
       Ethereum    2 ETH   ETH  ,1545.819244,8362.88,-1.76,-17.88,187985989766.75
       Tether    3 USDT   USDT  ,0.999942,5.41,0.02,-0.11,65862464447.05
       USD Coin    4 USDC   USDC  ,1.000175,5.41,0.02,0.01,54783598540.83
       Binance Coin    5 BNB   BNB  ,261.284646,1413.55,-1.27,-12.61,42154949180.58
       Binance USD    6 BUSD   BUSD  ,1.000509,5.41,0.05,0.06,17556158902.11
       XRP    7 XRP   XRP  ,0.360495,1.95,-1.55,-38.1,17427443557.61
       Cardano    8 ADA   ADA  ,0.489342,2.65,-0.57,-58.23,16509924909.29
       Solana    9 SOL   SOL  ,45.648922,246.96,4.47,75.73,15776655227.21
       Dogecoin    10 DOGE   DOGE  ,0.066911,0.36,-1.19,-61.96,8877135415.25
       Polkadot    11 DOT   DOT  ,7.735480,41.85,0.67,-36.98,7639400331.71
       Polygon    12 MATIC   MATIC  ,0.925343,5.01,-3.71,26.43,7409043196.31
       Dai    13 DAI   DAI  ,0.999246,5.41,-0.12,-0.12,7233110559.38
       Wrapped TRON    14 WTRX   WTRX  ,0.068725,0.37,-0.10,13.79,6987714543.74
       HEX    15 HEX   HEX  ,0.040060,0.22,0.06,-80.27,6946813511.82
       Avalanche    16 AVAX   AVAX  ,24.172830,130.78,0.50,129.34,6861599914.94
       Shiba Inu    17 SHIB   SHIB  ,0.000012,6.5E-5,-1.74,100,6473826740.40
       TRON    18 TRX   TRX  ,0.068705,0.37,-0.52,23.4,6351178937.02
       Uniswap    19 UNI   UNI  ,7.590828,41.07,3.50,-51.69,5572695670.83
       Lido Staked ETH    20 STETH   STETH  ,1510.254425,8170.48,-1.88,-48.2,5267356646.17
       Wrapped Bitcoin    21 WBTC   WBTC  ,22077.429367,119438.89,-1.47,-29.98,5250720684.03
       UNUS SED LEO    22 LEO   LEO  ,5.205956,28.16,-3.88,75.3,4966243213.18
       yOUcash    23 YOUC   YOUC  ,0.511060,2.76,0.02,741.46,4301798875.64
       Litecoin    24 LTC   LTC  ,57.060916,308.7,-2.67,-51.86,4037223531.92
       FTX Token    25 FTT   FTT  ,28.612495,154.79,-4.52,-57.7,3872659649.35
       Ethereum Classic    26 ETC   ETC  ,25.087789,135.72,-1.29,-39.19,3409101242.62
       Cronos    27 CRO   CRO  ,0.131029,0.71,-0.65,-67.2,3310175670.16
       Chainlink    28 LINK   LINK  ,6.988110,37.81,-0.99,-54.27,3264145935.66
       NEAR Protocol    29 NEAR   NEAR  ,4.402393,23.82,7.50,136,3261701767.25
       Cosmos    30 ATOM   ATOM  ,10.237323,55.38,6.83,-3.68,2931665167.19
       Stellar    31 XLM   XLM  ,0.115289,0.62,0.72,-49.24,2894872264.46
       Monero    32 XMR   XMR  ,140.968319,762.64,-4.42,-28.88,2558516489.52
       Algorand    33 ALGO   ALGO  ,0.363039,1.96,0.81,-54.02,2522611852.61
       Bitcoin Cash    34 BCH   BCH  ,121.966449,659.84,0.33,-72.02,2332195175.38
       Bitcoin BEP2    35 BTCB   BTCB  ,22064.878191,119370.99,-1.26,-11.77,2320689560.87
       Flow    36 FLOW   FLOW  ,1.841966,9.97,8.94,-86.33,1908645112.28
       Chain    37 XCN   XCN  ,0.088281,0.48,-1.60,67.92,1895646583.89
       Internet Computer    38 ICP   ICP  ,7.353639,39.78,-2.92,-76.19,1827434331.37
       VeChain    39 VET   VET  ,0.025104,0.14,1.19,-61.93,1820304404.44
       APEcoin    40 APE   APE  ,5.874159,31.78,-1.94,12300.07,1802632585.93
       Decentraland    41 MANA   MANA  ,0.947973,5.13,2.70,58.66,1753008077.84
       The Sandbox    42 SAND   SAND  ,1.392743,7.53,0.50,208.74,1752943292.28
       Tezos    43 XTZ   XTZ  ,1.716656,9.29,-0.88,-28.32,1548486143.02
       Hedera    44 HBAR   HBAR  ,0.071473,0.39,0.83,-79.06,1506997076.32
       Axie Infinity    45 AXS   AXS  ,17.088336,92.45,3.99,2.17,1409372036.89
       Filecoin    46 FIL   FIL  ,5.877918,31.8,-1.83,-87.3,1402392558.49
       Aave    47 AAVE   AAVE  ,100.023015,541.12,3.52,-59.91,1391897644.01
       Frax    48 FRAX   FRAX  ,0.998761,5.4,-0.26,0.39,1364365961.95
       Elrond    49 EGLD   EGLD  ,59.415542,321.44,-1.85,-19.46,1359526119.51
       Theta Network    50 THETA   THETA  ,1.322045,7.15,2.02,-74.33,1322044541.58
